source_vertex_id,distance_to_surface
1098,0.208579
1099,0.262524
1100,0.228046
1101,0.157899
1102,0.118280
1103,0.075893
1104,0.017006
1105,0.022688
1106,0.017656
1107,0.003221
1108,0.002065
1109,0.032753
1110,0.022465
1111,0.022370
1112,0.022922
1113,0.102379
1114,0.051520
1115,0.094381
1116,0.191383
1117,0.183010
1118,0.348306
1119,0.427416
1120,0.519571
1121,0.580193
1122,0.579594
1123,0.544087
1124,0.455497
1125,0.400619
1126,0.406028
1127,0.578555
1128,0.471767
1129,0.728019
1130,0.893890
1131,0.392828
1132,0.123689
1133,0.126946
1134,0.121298
1135,0.131679
1136,0.138917
1137,0.192768
1138,0.189635
1139,0.165454
1140,0.214332
1141,0.149029
1142,0.122370
1143,0.161892
1144,0.119841
1145,0.001224
1146,0.084236
1147,0.006452
1148,0.045010
1149,0.158058
1150,0.154000
1151,0.328733
1152,0.219018
1153,0.580044
1154,0.732237
1155,0.894902
1156,0.739633
1157,1.316442
1158,1.233726
1159,1.011212
1160,0.736845
1161,1.098483
1162,1.229189
1163,0.733915
1164,1.057200
1165,1.267316
1166,0.836157
1167,0.440740
1168,0.440260
1169,0.356134
1170,0.013361
1171,0.401645
1172,0.101678
1173,0.069552
1174,0.769514
1175,0.070126
1176,0.025500
1177,0.130990
1178,0.253605
1179,0.109788
1180,0.332323
1181,1.021487
1182,0.972160
1183,0.898449
1184,1.030910
1185,0.317994
1186,0.524087
1187,0.581708
1188,0.421963
1189,0.476177
1190,0.371567
1191,0.228273
1192,0.087252
1193,0.050008
1194,0.168245
1195,0.234157
1196,0.235812
1197,0.292476
1198,0.295242
1199,0.182520
1200,0.846650
1201,0.240149
1202,1.337292
1203,1.514409
1204,0.113089
1205,0.189667
1206,0.326395
1207,0.715759
1208,0.051420
1209,0.517004
1210,0.995208
1211,0.317043
1212,0.335394
1213,0.338461
1214,0.320526
1215,0.307654
1216,0.348972
1217,0.335823
1218,0.326447
1219,0.322087
1220,0.368856
1221,0.316384
1222,0.370841
1223,0.269603
1224,0.219081
1225,0.163638
1226,0.107569
1227,0.221238
1228,0.142927
1229,0.075851
1230,0.031859
1231,0.075527
1232,0.143558
1233,0.159583
1234,0.063426
1235,0.155910
1236,0.262711
1237,0.376165
1238,0.524571
1239,0.554274
1240,0.612359
1241,0.649702
1242,0.602724
1243,0.544325
1244,0.459225
1245,0.419675
1246,0.422455
1247,0.473542
1248,0.574543
1249,0.724034
1250,0.891315
1251,0.155202
1252,0.151848
1253,0.162920
1254,0.172402
1255,0.152293
1256,0.187238
1257,0.182585
1258,0.187019
1259,0.179670
1260,0.216972
1261,0.194921
1262,0.156824
1263,0.164878
1264,0.075396
1265,0.150950
1266,0.002669
1267,0.040678
1268,0.088634
1269,0.127359
1270,0.177508
1271,0.386248
1272,0.310451
1273,0.568498
1274,0.670846
1275,0.664914
1276,0.616248
1277,0.858157
1278,0.643819
1279,1.185330
1280,1.135061
1281,0.726774
1282,0.922717
1283,1.155538
1284,0.949606
1285,0.832799
1286,0.397352
1287,0.688527
1288,0.483330
1289,0.455074
1290,0.465537
1291,0.011911
1292,0.171224
1293,0.049701
1294,0.132427
1295,0.473102
1296,0.484245
1297,0.198783
1298,0.170618
1299,0.450812
1300,0.321542
1301,0.221426
1302,0.542415
1303,0.427501
1304,0.977844
1305,0.945153
1306,0.958997
1307,0.832955
1308,0.404002
1309,0.549115
1310,0.475986
1311,0.434549
1312,0.355338
1313,0.247737
1314,0.063149
1315,0.009251
1316,0.087038
1317,0.132283
1318,0.363190
1319,0.367697
1320,0.309262
1321,0.042976
1322,0.040575
1323,0.196338
1324,0.367327
1325,0.039673
1326,0.406547
1327,0.074524
1328,0.100557
1329,0.084913
1330,0.315349
1331,0.334545
1332,0.343906
1333,0.375507
1334,0.374750
1335,0.370639
1336,0.362576
1337,0.408678
1338,0.396867
1339,0.391155
1340,0.382238
1341,0.430333
1342,0.421874
1343,0.495479
1344,0.427772
1345,0.383255
1346,0.331577
1347,0.291453
1348,0.281795
1349,0.311096
1350,0.199598
1351,0.276153
1352,0.194534
1353,0.294513
1354,0.262158
1355,0.380545
1356,0.478499
1357,0.508707
1358,0.579094
1359,0.650926
1360,0.699688
1361,0.682975
1362,0.655177
1363,0.595437
1364,0.550620
1365,0.463360
1366,0.446329
1367,0.412257
1368,0.662622
1369,0.497468
1370,0.838805
1371,0.447276
1372,0.424127
1373,0.174703
1374,0.200402
1375,0.203786
1376,0.213217
1377,0.233125
1378,0.250196
1379,0.236148
1380,0.274709
1381,0.222809
1382,0.087464
1383,0.200398
1384,0.011603
1385,0.043435
1386,0.085931
1387,0.201726
1388,0.449003
1389,0.281880
1390,0.548127
1391,0.584765
1392,0.490721
1393,0.517668
1394,1.194742
1395,0.963360
1396,0.838078
1397,0.967433
1398,1.073779
1399,0.960831
1400,1.009256
1401,0.818166
1402,0.607416
1403,0.572745
1404,0.425018
1405,0.672422
1406,0.790493
1407,0.242598
1408,0.425579
1409,0.295793
1410,0.268241
1411,0.249316
1412,0.337521
1413,0.316798
1414,0.492748
1415,0.428493
1416,0.551925
1417,0.647570
1418,0.457692
1419,0.725950
1420,0.796036
1421,0.871671
1422,0.812204
1423,0.565781
1424,0.349614
1425,0.288079
1426,0.227284
1427,0.358063
1428,0.311873
1429,0.281004
1430,0.160693
1431,0.086952
1432,0.096151
1433,0.216722
1434,0.494997
1435,0.306406
1436,0.493715
1437,0.482036
1438,0.197681
1439,0.149532
1440,0.514592
1441,0.639585
1442,0.217485
1443,0.364637
1444,0.376934
1445,0.406427
1446,0.405954
1447,0.406580
1448,0.406699
1449,0.464370
1450,0.453405
1451,0.455297
1452,0.516412
1453,0.493830
